falsefalsebatch size: (202,)	loss:99.770645
batch size: (513,)	loss:102.44544
batch size: (1224,)	loss:102.46549
batch size: (1404,)	loss:101.12456
batch size: (1511,)	loss:103.5792
batch size: (1464,)	loss:99.60862
batch size: (874,)	loss:96.950294
batch size: (521,)	loss:103.35511
batch size: (367,)	loss:93.90109
batch size: (1054,)	loss:98.29243
batch size: (1402,)	loss:103.04501
batch size: (1119,)	loss:96.783585
batch size: (1497,)	loss:101.81839
batch size: (1371,)	loss:97.11449
batch size: (1213,)	loss:101.81256
batch size: (1591,)	loss:99.15297
batch size: (1527,)	loss:101.702644
batch size: (1353,)	loss:100.90969
batch size: (1311,)	loss:100.11733
batch size: (801,)	loss:102.50402
batch size: (1248,)	loss:102.87761
batch size: (1493,)	loss:101.93527
batch size: (1573,)	loss:97.626144
batch size: (1600,)	loss:101.986145
batch size: (1379,)	loss:99.698975
batch size: (1378,)	loss:97.233925
batch size: (1053,)	loss:105.75218
batch size: (1467,)	loss:99.49167
batch size: (1162,)	loss:99.88586
batch size: (517,)	loss:94.825584
batch size: (1483,)	loss:100.540146
batch size: (1217,)	loss:102.5123
batch size: (1600,)	loss:102.26085
batch size: (1567,)	loss:104.268814
batch size: (1527,)	loss:101.09242
batch size: (1392,)	loss:102.89104
batch size: (1435,)	loss:100.23656
batch size: (1520,)	loss:96.38274
batch size: (1417,)	loss:102.84845
batch size: (1486,)	loss:102.45956
batch size: (1579,)	loss:99.2547
batch size: (1382,)	loss:102.01059
batch size: (1396,)	loss:98.473495
batch size: (1393,)	loss:99.8573
batch size: (1279,)	loss:102.38178
batch size: (1565,)	loss:101.02477
batch size: (654,)	loss:96.624466
batch size: (1600,)	loss:98.728264
batch size: (1449,)	loss:98.919395
batch size: (1549,)	loss:100.17991
batch size: (1508,)	loss:105.5547
batch size: (1118,)	loss:100.74801
batch size: (1366,)	loss:100.73285
batch size: (1475,)	loss:97.77056
batch size: (1540,)	loss:103.74535
batch size: (1511,)	loss:99.85414
batch size: (1064,)	loss:102.40712
batch size: (304,)	loss:100.03559
batch size: (1425,)	loss:98.76019
batch size: (1319,)	loss:101.08557
batch size: (643,)	loss:97.28332
batch size: (1511,)	loss:101.2963
batch size: (1153,)	loss:97.77241
batch size: (1275,)	loss:95.96836
batch size: (1517,)	loss:102.476006
batch size: (1269,)	loss:100.73251
batch size: (1463,)	loss:99.25598
batch size: (1275,)	loss:102.74107
batch size: (1485,)	loss:96.21797
batch size: (1327,)	loss:107.874504
batch size: (1179,)	loss:98.776436
batch size: (1366,)	loss:102.80959
batch size: (1542,)	loss:99.44452
batch size: (1542,)	loss:100.13902
batch size: (1340,)	loss:93.61918
batch size: (957,)	loss:93.19656
batch size: (1282,)	loss:97.658
batch size: (1540,)	loss:95.6595
batch size: (1535,)	loss:97.642334
batch size: (1405,)	loss:95.556915
batch size: (1499,)	loss:94.19161
batch size: (1301,)	loss:91.5546
batch size: (1487,)	loss:95.375
batch size: (1582,)	loss:94.14728
batch size: (1504,)	loss:91.400764
batch size: (1586,)	loss:94.91776
batch size: (1164,)	loss:98.01122
batch size: (1600,)	loss:91.788246
batch size: (1600,)	loss:93.927864
batch size: (1555,)	loss:96.16878
batch size: (1560,)	loss:93.57019
batch size: (1308,)	loss:93.5111
batch size: (1498,)	loss:95.787636
batch size: (1373,)	loss:98.97536
batch size: (1471,)	loss:94.10723
batch size: (1314,)	loss:94.45557
batch size: (1038,)	loss:99.36145
batch size: (1111,)	loss:96.94508
batch size: (1538,)	loss:96.73425
batch size: (679,)	loss:94.52252
batch size: (1190,)	loss:98.320244
batch size: (1502,)	loss:98.36361
batch size: (1522,)	loss:95.130684
batch size: (1284,)	loss:95.689896
batch size: (1002,)	loss:100.13959
batch size: (1465,)	loss:96.9181
batch size: (969,)	loss:97.476166
batch size: (710,)	loss:94.706474
batch size: (821,)	loss:98.355515
batch size: (1391,)	loss:97.407265
batch size: (440,)	loss:93.15709
batch size: (1539,)	loss:97.93204
batch size: (1476,)	loss:96.22025
batch size: (1148,)	loss:96.84491
batch size: (1179,)	loss:95.72847
batch size: (1122,)	loss:97.53443
batch size: (618,)	loss:101.199745
batch size: (1581,)	loss:79.54139
batch size: (1523,)	loss:75.3968
batch size: (1425,)	loss:77.42172
batch size: (1431,)	loss:74.84713
batch size: (1063,)	loss:76.99968
batch size: (295,)	loss:71.42314
batch size: (951,)	loss:77.73954
batch size: (931,)	loss:73.60457
batch size: (1170,)	loss:81.43599
batch size: (1454,)	loss:75.67817
batch size: (1319,)	loss:74.91876
batch size: (1343,)	loss:74.52166
batch size: (1481,)	loss:75.52286
batch size: (621,)	loss:75.67432
batch size: (1389,)	loss:76.28177
batch size: (725,)	loss:78.00386
batch size: (1476,)	loss:74.67843
batch size: (1558,)	loss:74.750565
batch size: (1287,)	loss:73.0461
batch size: (1282,)	loss:73.98933
batch size: (584,)	loss:75.71911
batch size: (1500,)	loss:73.96728
batch size: (1440,)	loss:72.5136
batch size: (1467,)	loss:72.53633
batch size: (1535,)	loss:72.26203
batch size: (1546,)	loss:73.344986
batch size: (1403,)	loss:72.49916
batch size: (1501,)	loss:70.07302
batch size: (1295,)	loss:74.33263
batch size: (1236,)	loss:73.60458
batch size: (1353,)	loss:72.18467
batch size: (1501,)	loss:73.80457
batch size: (1511,)	loss:72.534615
batch size: (1600,)	loss:72.31683
batch size: (1560,)	loss:73.15399
batch size: (1495,)	loss:71.97308
batch size: (1375,)	loss:73.73202
batch size: (1374,)	loss:72.27101
batch size: (1074,)	loss:75.672195
batch size: (1273,)	loss:75.71901
batch size: (1288,)	loss:73.297035
batch size: (1466,)	loss:73.94637
batch size: (1546,)	loss:74.71596
batch size: (1533,)	loss:73.44501
batch size: (1499,)	loss:75.49434
batch size: (1290,)	loss:75.63801
batch size: (1278,)	loss:75.25925
batch size: (1600,)	loss:78.29548
batch size: (1277,)	loss:79.72585
batch size: (1539,)	loss:86.657715
batch size: (1402,)	loss:79.07988
batch size: (1086,)	loss:77.83171
batch size: (1480,)	loss:75.97255
batch size: (1595,)	loss:73.27072
batch size: (1313,)	loss:75.04122
batch size: (1328,)	loss:76.68484
batch size: (1566,)	loss:76.977615
batch size: (1530,)	loss:75.19916
batch size: (1583,)	loss:76.10952
batch size: (1105,)	loss:72.601746
batch size: (1513,)	loss:75.72665
batch size: (1437,)	loss:74.36693
batch size: (1529,)	loss:75.01859
batch size: (1563,)	loss:72.653076
batch size: (708,)	loss:75.57118
batch size: (1412,)	loss:73.40291
batch size: (729,)	loss:73.75356
batch size: (924,)	loss:76.38139
batch size: (1440,)	loss:75.11831
batch size: (1482,)	loss:77.37542
batch size: (1447,)	loss:78.45628
batch size: (1353,)	loss:81.22379
batch size: (1587,)	loss:77.249565
batch size: (1539,)	loss:78.33493
batch size: (1261,)	loss:76.23804
batch size: (203,)	loss:72.83011
batch size: (1030,)	loss:75.2276
batch size: (1416,)	loss:77.88979
batch size: (552,)	loss:74.3632
batch size: (1600,)	loss:76.21754
batch size: (1554,)	loss:76.56061
batch size: (1539,)	loss:73.691185
batch size: (1600,)	loss:75.81624
batch size: (1424,)	loss:73.7134
batch size: (989,)	loss:75.22776
batch size: (805,)	loss:75.67657
batch size: (1186,)	loss:75.959236
batch size: (1499,)	loss:81.902534
batch size: (1176,)	loss:77.1113
batch size: (592,)	loss:73.05712
batch size: (553,)	loss:78.57195
batch size: (1417,)	loss:75.652374
batch size: (1464,)	loss:76.74757
batch size: (434,)	loss:80.75085
batch size: (1583,)	loss:75.73705
batch size: (372,)	loss:72.9073
batch size: (1557,)	loss:74.98319
batch size: (1486,)	loss:74.681206
batch size: (336,)	loss:81.25086
batch size: (1130,)	loss:73.295906
batch size: (1536,)	loss:73.88171
batch size: (699,)	loss:74.657425
batch size: (1546,)	loss:75.21768
batch size: (1379,)	loss:75.34359
batch size: (1572,)	loss:77.82992
batch size: (1384,)	loss:74.53768
batch size: (1600,)	loss:73.062096
batch size: (1506,)	loss:74.87554
batch size: (558,)	loss:74.75033
batch size: (1363,)	loss:82.48235
batch size: (1481,)	loss:80.71629
batch size: (1513,)	loss:82.260735
batch size: (1183,)	loss:83.48898
batch size: (576,)	loss:82.267105
batch size: (1368,)	loss:81.27331
batch size: (1496,)	loss:83.06516
batch size: (1437,)	loss:82.749535
batch size: (1316,)	loss:80.75214
batch size: (1410,)	loss:79.29781
batch size: (1458,)	loss:79.25977
batch size: (1511,)	loss:77.59739
batch size: (1524,)	loss:76.45354
batch size: (521,)	loss:78.67392
batch size: (1558,)	loss:76.783516
batch size: (1532,)	loss:79.11352
batch size: (1491,)	loss:79.67322
batch size: (1466,)	loss:79.43825
batch size: (1453,)	loss:76.430954
batch size: (1312,)	loss:78.87201
batch size: (1488,)	loss:79.20099
batch size: (864,)	loss:77.61383
batch size: (1044,)	loss:78.25301
batch size: (1538,)	loss:79.704895
batch size: (1047,)	loss:82.025276
batch size: (1510,)	loss:79.47076
batch size: (1471,)	loss:81.255875
batch size: (1385,)	loss:77.79657
batch size: (1293,)	loss:77.39054
batch size: (1570,)	loss:75.81182
batch size: (1510,)	loss:78.3233
batch size: (1600,)	loss:78.3449
batch size: (1334,)	loss:78.93726
batch size: (1600,)	loss:79.30933
batch size: (1600,)	loss:80.32005
batch size: (1573,)	loss:77.20572
batch size: (1169,)	loss:78.13551
batch size: (1600,)	loss:78.639755
