using NODE-APCbatch size: (1186,)	loss:69.49377
batch size: (1300,)	loss:72.53355
batch size: (1581,)	loss:72.84866
batch size: (1381,)	loss:75.79528
batch size: (1426,)	loss:74.89966
batch size: (1396,)	loss:75.11744
batch size: (1413,)	loss:74.42768
batch size: (1250,)	loss:74.96789
batch size: (1337,)	loss:76.30846
batch size: (1523,)	loss:76.689224
batch size: (1212,)	loss:76.20645
batch size: (1542,)	loss:75.03556
batch size: (1375,)	loss:75.08867
batch size: (1547,)	loss:75.23242
batch size: (1225,)	loss:72.98551
batch size: (1600,)	loss:74.2673
batch size: (1264,)	loss:74.646774
batch size: (1540,)	loss:73.759186
batch size: (1600,)	loss:73.29268
batch size: (1367,)	loss:74.03723
batch size: (1600,)	loss:76.804405
batch size: (1268,)	loss:75.89711
batch size: (1389,)	loss:71.9814
batch size: (1166,)	loss:72.75248
batch size: (1168,)	loss:73.21326
batch size: (1495,)	loss:76.37562
batch size: (1453,)	loss:77.77277
batch size: (1335,)	loss:74.13828
batch size: (1422,)	loss:75.5783
batch size: (1477,)	loss:75.708374
batch size: (1257,)	loss:76.00403
batch size: (1464,)	loss:76.469
batch size: (1527,)	loss:76.10638
batch size: (1496,)	loss:76.39128
batch size: (750,)	loss:74.41819
batch size: (1403,)	loss:76.732475
batch size: (1493,)	loss:77.90179
batch size: (1495,)	loss:75.683624
batch size: (1224,)	loss:76.56765
batch size: (1162,)	loss:75.70374
batch size: (1365,)	loss:75.5439
batch size: (885,)	loss:76.049774
batch size: (1554,)	loss:75.720276
batch size: (1293,)	loss:78.524765
batch size: (1405,)	loss:70.409615
batch size: (1524,)	loss:69.03835
batch size: (1143,)	loss:70.70804
batch size: (1223,)	loss:70.03333
batch size: (1600,)	loss:70.476974
batch size: (1600,)	loss:68.82288
batch size: (1600,)	loss:73.77717
batch size: (1499,)	loss:70.75461
batch size: (1445,)	loss:69.87486
batch size: (1147,)	loss:71.49035
batch size: (1504,)	loss:70.70602
batch size: (1447,)	loss:69.228096
batch size: (1539,)	loss:71.847176
batch size: (1532,)	loss:71.01187
batch size: (1223,)	loss:71.754166
batch size: (1343,)	loss:69.43553
batch size: (1388,)	loss:70.4559
batch size: (1311,)	loss:73.61304
batch size: (802,)	loss:70.2606
batch size: (1434,)	loss:71.99228
batch size: (1192,)	loss:73.1545
batch size: (1409,)	loss:69.72559
batch size: (1356,)	loss:74.66953
batch size: (1346,)	loss:68.75495
batch size: (1484,)	loss:72.758545
batch size: (1592,)	loss:71.54044
batch size: (519,)	loss:74.870735
batch size: (1347,)	loss:74.64363
batch size: (1414,)	loss:72.12197
batch size: (1231,)	loss:72.66648
batch size: (1557,)	loss:73.607315
batch size: (475,)	loss:71.37358
batch size: (1514,)	loss:72.90376
batch size: (1385,)	loss:75.010124
batch size: (1362,)	loss:74.24185
batch size: (1600,)	loss:73.50307
batch size: (1484,)	loss:71.5004
batch size: (1387,)	loss:73.15399
batch size: (1332,)	loss:82.34277
batch size: (551,)	loss:83.140175
batch size: (1020,)	loss:78.878746
batch size: (1535,)	loss:80.93731
batch size: (471,)	loss:79.23864
batch size: (753,)	loss:79.44767
batch size: (645,)	loss:80.11453
batch size: (783,)	loss:82.907936
batch size: (1032,)	loss:80.92985
batch size: (972,)	loss:81.69436
batch size: (761,)	loss:81.50026
batch size: (1436,)	loss:84.24731
batch size: (736,)	loss:80.733246
batch size: (1546,)	loss:82.525665
batch size: (1215,)	loss:83.57693
batch size: (972,)	loss:84.339355
